cat > web.log << 'EOF'
[2025-12-01 10:15:32] 200 www.example.com/index.html from 10.0.0.5
[2025-12-01 10:15:40] 404 api.example.com/foo from 10.0.0.1
[2025-12-01 10:15:48] 500 admin.example.com/login from 10.0.0.9
[2025-12-01 10:15:56] 200 auth.example.com/login from 10.0.0.7
[2025-12-01 10:16:04] 503 api.example.com/v1/items from 10.0.0.3
[2025-12-01 10:16:12] 302 cdn1.example.com/redirect from 192.168.1.10
[2025-12-01 10:16:20] 500 uploads.example.com/upload from 192.168.1.11
[2025-12-01 10:16:28] 201 shop.example.com/health from 172.16.0.2
[2025-12-01 10:16:36] 200 img.example.com/banner.png from 172.16.0.3
[2025-12-01 10:16:44] 404 blog.example.com/old-post from 203.0.113.5
[2025-12-01 10:16:52] 500 api.example.com/v1/orders from 203.0.113.6
[2025-12-01 10:17:00] 200 www.example.com/about from 198.51.100.23
[2025-12-01 10:17:08] 401 auth.example.com/login from 198.51.100.24
[2025-12-01 10:17:16] 403 admin.example.com/panel from 10.0.1.5
[2025-12-01 10:17:24] 302 cdn2.example.com/assets/app.js from 10.0.1.6
[2025-12-01 10:17:32] 503 api.example.com/v2/search from 192.168.2.10
[2025-12-01 10:17:40] 200 shop.example.com/cart from 192.168.2.11
[2025-12-01 10:17:48] 404 img.example.com/missing.png from 172.16.1.4
[2025-12-01 10:17:56] 500 billing.example.com/charge from 172.16.1.5
[2025-12-01 10:18:04] 200 www.example.com/contact from 203.0.113.7
[2025-12-01 10:18:12] 502 api.example.com/v1/status from 203.0.113.8
[2025-12-01 10:18:20] 200 static.example.com/css/main.css from 198.51.100.25
[2025-12-01 10:18:28] 404 blog.example.com/archive/2019 from 198.51.100.26
[2025-12-01 10:18:36] 500 uploads.example.com/avatar.jpg from 10.0.2.5
[2025-12-01 10:18:44] 503 admin.example.com/report from 10.0.2.6
[2025-12-01 10:18:52] 200 api.example.com/v1/items/123 from 192.168.3.10
[2025-12-01 10:19:00] 301 www.example.com/old-home from 192.168.3.11
[2025-12-01 10:19:08] 404 cdn1.example.com/missing.css from 172.16.2.4
[2025-12-01 10:19:16] 500 billing.example.com/invoice from 172.16.2.5
[2025-12-01 10:19:24] 200 shop.example.com/checkout from 203.0.113.9
[2025-12-01 10:19:32] 503 api.example.com/v2/recommend from 203.0.113.10
[2025-12-01 10:19:40] 200 help.example.com/faq from 198.51.100.27
[2025-12-01 10:19:48] 404 img.example.com/icons/missing.svg from 198.51.100.28
[2025-12-01 10:19:56] 500 admin.example.com/db-sync from 10.0.3.5
[2025-12-01 10:20:04] 502 auth.example.com/oauth/callback from 10.0.3.6
[2025-12-01 10:20:12] 200 api.example.com/v1/users from 192.168.4.10
[2025-12-01 10:20:20] 201 uploads.example.com/new-file from 192.168.4.11
[2025-12-01 10:20:28] 404 blog.example.com/drafts/secret from 172.16.3.4
[2025-12-01 10:20:36] 500 billing.example.com/refund from 172.16.3.5
[2025-12-01 10:20:44] 503 reports.example.com/daily from 203.0.113.11
[2025-12-01 10:20:52] 200 www.example.com/pricing from 203.0.113.12
[2025-12-01 10:21:00] 404 cdn2.example.com/fonts/missing.woff from 198.51.100.29
[2025-12-01 10:21:08] 500 api.example.com/v1/timeout from 198.51.100.30
[2025-12-01 10:21:16] 200 shop.example.com/products/42 from 10.0.4.5
[2025-12-01 10:21:24] 301 www.example.com/docs from 10.0.4.6
[2025-12-01 10:21:32] 503 auth.example.com/login from 192.168.5.10
[2025-12-01 10:21:40] 200 static.example.com/img/logo.png from 192.168.5.11
[2025-12-01 10:21:48] 404 blog.example.com/rss from 172.16.4.4
[2025-12-01 10:21:56] 500 reports.example.com/monthly from 172.16.4.5
