apples, 37, 99
bananas, 97, 137
oranges, 111, 111
grapes, 27, 102
strawberries, 8, 139
blueberries, 87, 87
raspberries, 66, 103
blackberries, 99, 128
lemons, 61, 77
limes, 7, 7
pears, 42, 122
peaches, 3, 46
plums, 77, 145
mangoes, 99, 102
pineapples, 24, 105
watermelon, 46, 96
cantaloupe, 53, 101
honeydew, 69, 95
spinach, 40, 138
kale, 9, 36
romaine lettuce, 67, 67
iceberg lettuce, 84, 139
carrots, 34, 122
broccoli, 73, 101
cauliflower, 102, 102
bell peppers, 87, 124
cucumbers, 63, 87
tomatoes, 26, 108
onions, 57, 57
garlic, 48, 127
potatoes, 56, 105
sweet potatoes, 98, 118
zucchini, 90, 90
eggplant, 39, 120
mushrooms, 46, 150
green beans, 40, 140
celery, 17, 99
cabbage, 94, 145
avocados, 76, 148
ginger, 6, 6
cilantro, 29, 133
parsley, 78, 139
basil, 40, 113
mint, 23, 47
dill, 22, 106
chicken breast, 68, 129
ground beef, 13, 56
pork chops, 60, 103
bacon, 139, 139
sausages, 65, 115
salmon fillet, 7, 83
shrimp, 73, 113
eggs, 34, 133
milk, 115, 115
yogurt, 51, 102
butter, 84, 119
cheddar cheese, 1, 112
mozzarella cheese, 30, 68
sour cream, 58, 99
heavy cream, 28, 111
cottage cheese, 77, 111
bread, 102, 102
bagels, 74, 127
tortillas, 76, 113
rice, 106, 106
pasta, 45, 141
oats, 14, 14
flour, 53, 88
sugar, 72, 108
brown sugar, 26, 65
olive oil, 100, 100
canola oil, 51, 100
peanut butter, 95, 99
jam, 7, 142
honey, 88, 137
cereal, 71, 99
granola, 31, 130
crackers, 66, 132
pretzels, 40, 143
potato chips, 46, 126
frozen pizza, 21, 76
frozen vegetables, 54, 135
frozen berries, 92, 92
ice cream, 93, 115
coffee, 63, 90
tea, 35, 149
orange juice, 44, 97
apple juice, 66, 120
soda, 39, 73
bottled water, 72, 101
toilet paper, 59, 105
paper towels, 11, 82
dish soap, 2, 133
laundry detergent, 90, 140
salt, 19, 136
black pepper, 41, 103
cinnamon, 121, 121
ketchup, 64, 130
mustard, 16, 72
mayonnaise, 0, 135
soy sauce, 52, 52
vinegar, 50, 137
